YEAR,HHWT,MET2013,PUMA,OWNERSHPD,MORTAMT1,RENT,PERNUM,PERWT,SEX,AGE,MARST,RACE,HISPAN,EDUC,EMPSTAT,OCC2010,IND,INCTOT,FTOTINC,POVERTY,MIGMET1,MIGPLAC1,MIGPUMA1
2006,33,38060,106,22,0,610,1,33,2,18,6,8,0,6,1,4720,7870,3600,3600,35,4480.0,,
2006,92,38060,111,13,1500,0,1,95,1,20,6,1,1,6,1,8740,4670,44000,44000,430,4480.0,,
2006,92,38060,800,0,0,0,1,92,1,29,6,1,1,2,3,4220,1480,18000,9999999,0,4480.0,,
2006,57,38060,115,22,0,1200,4,64,2,7,6,2,0,1,0,9920,0,9999999,76330,374,4480.0,,
2006,212,38060,118,22,0,510,1,210,1,28,6,1,1,6,1,4720,5790,24000,24000,234,4482.0,,
2006,212,38060,118,22,0,510,2,356,1,26,6,1,1,6,1,4720,5790,40000,40000,387,4482.0,,
2006,212,38060,118,22,0,510,3,211,1,21,6,1,1,6,1,4700,5790,15000,15000,145,4482.0,,
2006,86,38060,105,22,0,1400,1,87,1,58,4,1,0,7,1,10,5690,65000,95000,501,4482.0,,
2006,8,46060,201,0,0,0,1,8,2,19,6,1,0,6,3,4320,8990,3000,9999999,0,4482.0,,
2006,79,38060,104,13,2200,0,1,80,2,57,4,1,0,6,2,5700,6870,61100,61100,501,4480.0,,
2006,55,46060,205,13,1800,0,3,100,2,29,6,2,0,10,1,5700,7580,5000,118600,501,4480.0,,
2006,61,38060,103,13,780,0,2,103,2,31,4,1,0,7,1,5240,6890,28000,28000,271,4482.0,,
2006,265,38060,119,22,0,800,1,266,2,48,4,1,0,7,1,4700,4970,37500,37500,358,4482.0,,
2006,58,38060,114,13,1200,0,3,112,1,46,6,1,0,10,1,5810,9160,8000,53500,264,4480.0,,
2006,129,38060,104,22,0,150,1,129,2,27,1,1,1,6,3,3650,7970,8000,9000,44,4480.0,,
