State00,PUMA00,GEOID00,GISJOIN00,State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,CPUMA00,CPUMA10,PUMA00_Pop00,PUMA10_Pop00,Part_Pop00,pPUMA00_Pop00,pPUMA10_Pop00,PUMA00_Pop10,PUMA10_Pop10,Part_Pop10,pPUMA00_Pop10,pPUMA10_Pop10,PUMA00_Land,PUMA10_Land,Part_Land,pPUMA00_Land,pPUMA10_Land
04,00108,0400108,G04000108,04,00126,0400126,G04000126,Arizona,Maricopa County--Glendale City (North),25,25,"116,247","125,084","116,247",100.00,92.94,"113,505","121,841","113,505",100.00,93.16,"67,153,515","82,662,285","67,151,742",100.00,81.24
04,00108,0400108,G04000108,04,00127,0400127,G04000127,Arizona,Maricopa County--Peoria City (South & Central),25,25,"116,247","98,835",0,0.00,0.00,"113,505","113,447",0,0.00,0.00,"67,153,515","72,501,058",927,0.00,0.00
04,00109,0400109,G04000109,04,00123,0400123,G04000123,Arizona,Phoenix City--Maryvale (West),25,25,"120,787","94,858",0,0.00,0.00,"171,054","108,404",0,0.00,0.00,"201,454,268","41,622,563","5,620",0.00,0.01
04,00109,0400109,G04000109,04,00124,0400124,G04000124,Arizona,Maricopa County--Glendale City (South),25,25,"120,787","90,208","90,208",74.68,100.00,"171,054","100,367","100,367",58.68,100.00,"201,454,268","65,963,508","65,958,116",32.74,99.99
04,00109,0400109,G04000109,04,00126,0400126,G04000126,Arizona,Maricopa County--Glendale City (North),25,25,"120,787","125,084","5,391",4.46,4.31,"171,054","121,841","5,212",3.05,4.28,"201,454,268","82,662,285","2,571,504",1.28,3.11
04,00109,0400109,G04000109,04,00127,0400127,G04000127,Arizona,Maricopa County--Peoria City (South & Central),25,25,"120,787","98,835","3,084",2.55,3.12,"171,054","113,447","3,285",1.92,2.90,"201,454,268","72,501,058","2,591,849",1.29,3.57
04,00109,0400109,G04000109,04,00130,0400130,G04000130,Arizona,Maricopa County--El Mirage City & Sun City,25,25,"120,787","87,327","7,609",6.30,8.71,"171,054","116,222","29,812",17.43,25.65,"201,454,268","108,749,703","21,891,447",10.87,20.13
04,00109,0400109,G04000109,04,00132,0400132,G04000132,Arizona,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",25,25,"120,787","33,770","11,297",9.35,33.45,"171,054","102,571","28,101",16.43,27.40,"201,454,268","359,769,481","105,805,150",52.52,29.41
04,00109,0400109,G04000109,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,"120,787","53,238","3,198",2.65,6.01,"171,054","103,989","4,277",2.50,4.11,"201,454,268","94,220,352","2,630,461",1.31,2.79
04,00109,0400109,G04000109,04,00134,0400134,G04000134,Arizona,Maricopa County (West) & Gila River Indian Community (Northwest),25,25,"120,787","41,217",0,0.00,0.00,"171,054","109,882",0,0.00,0.00,"201,454,268","16,233,844,483",119,0.00,0.00
04,00110,0400110,G04000110,04,00121,0400121,G04000121,Arizona,Phoenix (Southwest) & Tolleson Cities,25,25,"103,499","52,048",341,0.33,0.66,"338,420","123,745","21,087",6.23,17.04,"13,136,138,573","156,566,530","22,584,803",0.17,14.43
04,00110,0400110,G04000110,04,00130,0400130,G04000130,Arizona,Maricopa County--El Mirage City & Sun City,25,25,"103,499","87,327","6,668",6.44,7.64,"338,420","116,222","7,807",2.31,6.72,"13,136,138,573","108,749,703","6,367,510",0.05,5.86
04,00110,0400110,G04000110,04,00131,0400131,G04000131,Arizona,Maricopa County--Surprise City (Central),25,25,"103,499","21,714","6,413",6.20,29.53,"338,420","103,540","76,083",22.48,73.48,"13,136,138,573","99,013,114","72,161,994",0.55,72.88
04,00110,0400110,G04000110,04,00132,0400132,G04000132,Arizona,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",25,25,"103,499","33,770","22,473",21.71,66.55,"338,420","102,571","74,470",22.01,72.60,"13,136,138,573","359,769,481","253,964,331",1.93,70.59
04,00110,0400110,G04000110,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,"103,499","53,238","41,483",40.08,77.92,"338,420","103,989","88,197",26.06,84.81,"13,136,138,573","94,220,352","86,604,358",0.66,91.92
04,00110,0400110,G04000110,04,00134,0400134,G04000134,Arizona,Maricopa County (West) & Gila River Indian Community (Northwest),25,25,"103,499","41,217","26,121",25.24,63.37,"338,420","109,882","70,776",20.91,64.41,"13,136,138,573","16,233,844,483","12,694,455,577",96.64,78.20
04,00111,0400111,G04000111,04,00121,0400121,G04000121,Arizona,Phoenix (Southwest) & Tolleson Cities,25,25,"169,069","52,048","4,972",2.94,9.55,"181,865","123,745","6,545",3.60,5.29,"79,773,573","156,566,530","12,809,634",16.06,8.18
04,00111,0400111,G04000111,04,00122,0400122,G04000122,Arizona,Phoenix City--Maryvale (East),25,25,"169,069","109,560","45,614",26.98,41.63,"181,865","104,327","44,963",24.72,43.10,"79,773,573","36,895,778","18,112,397",22.70,49.09
04,00111,0400111,G04000111,04,00123,0400123,G04000123,Arizona,Phoenix City--Maryvale (West),25,25,"169,069","94,858","76,010",44.96,80.13,"181,865","108,404","84,198",46.30,77.67,"79,773,573","41,622,563","30,958,972",38.81,74.38
04,00111,0400111,G04000111,04,00124,0400124,G04000124,Arizona,Maricopa County--Glendale City (South),25,25,"169,069","90,208",0,0.00,0.00,"181,865","100,367",0,0.00,0.00,"79,773,573","65,963,508","5,392",0.01,0.01
04,00111,0400111,G04000111,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,"169,069","103,937","33,916",20.06,32.63,"181,865","101,932","34,644",19.05,33.99,"79,773,573","41,243,856","12,901,645",16.17,31.28
04,00111,0400111,G04000111,04,00133,0400133,G04000133,Arizona,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,25,25,"169,069","53,238","8,557",5.06,16.07,"181,865","103,989","11,515",6.33,11.07,"79,773,573","94,220,352","4,985,532",6.25,5.29
04,00112,0400112,G04000112,04,00114,0400114,G04000114,Arizona,Phoenix City (Northeast Central),25,25,"170,752","104,421","14,338",8.40,13.73,"155,562","103,639","12,734",8.19,12.29,"71,178,173","62,256,464","6,558,921",9.21,10.54
04,00112,0400112,G04000112,04,00115,0400115,G04000115,Arizona,Phoenix City (Northwest Central),25,25,"170,752","105,221","14,346",8.40,13.63,"155,562","101,757","13,057",8.39,12.83,"71,178,173","55,882,990","5,187,284",7.29,9.28
04,00112,0400112,G04000112,04,00116,0400116,G04000116,Arizona,Phoenix City (Uptown),25,25,"170,752","108,575","101,698",59.56,93.67,"155,562","100,212","93,793",60.29,93.59,"71,178,173","44,501,692","41,878,582",58.84,94.11
04,00112,0400112,G04000112,04,00118,0400118,G04000118,Arizona,Phoenix City--Downtown & Sky Harbor International Airport,25,25,"170,752","121,783","27,663",16.20,22.71,"155,562","108,714","24,792",15.94,22.80,"71,178,173","86,876,963","14,888,663",20.92,17.14
04,00112,0400112,G04000112,04,00122,0400122,G04000122,Arizona,Phoenix City--Maryvale (East),25,25,"170,752","109,560","5,875",3.44,5.36,"155,562","104,327","5,574",3.58,5.34,"71,178,173","36,895,778","1,258,814",1.77,3.41
04,00112,0400112,G04000112,04,00125,0400125,G04000125,Arizona,Phoenix City (West),25,25,"170,752","103,937","6,832",4.00,6.57,"155,562","101,932","5,612",3.61,5.51,"71,178,173","41,243,856","1,405,910",1.98,3.41
04,00113,0400113,G04000113,04,00109,0400109,G04000109,Arizona,Maricopa County--Tempe City (North),25,23,"103,984","99,395",0,0.00,0.00,"98,693","102,150",0,0.00,0.00,"61,466,477","61,294,312","215,662",0.35,0.35
04,00113,0400113,G04000113,04,00110,0400110,G04000110,Arizona,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,25,25,"103,984","124,445",0,0.00,0.00,"98,693","116,958",0,0.00,0.00,"61,466,477","121,899,152","169,690",0.28,0.14
04,00113,0400113,G04000113,04,00117,0400117,G04000117,Arizona,Phoenix City (East),25,25,"103,984","106,369","102,959",99.01,96.79,"98,693","100,444","97,283",98.57,96.85,"61,466,477","61,971,892","60,672,943",98.71,97.90
04,00113,0400113,G04000113,04,00118,0400118,G04000118,Arizona,Phoenix City--Downtown & Sky Harbor International Airport,25,25,"103,984","121,783","1,025",0.99,0.84,"98,693","108,714","1,410",1.43,1.30,"61,466,477","86,876,963","408,182",0.66,0.47
